Date,Open,High,Low,Close,Adj Close,Volume
2000-11-29,134.375000,135.906250,133.265625,133.437500,90.420692,6914100
2000-11-30,132.500000,133.500000,129.750000,132.281250,89.637199,11201600
2000-12-01,133.187500,134.062500,131.000000,132.218750,89.594833,7587200
2000-12-04,131.875000,133.875000,131.500000,133.343750,90.357162,6996600
2000-12-05,134.875000,138.250000,134.406250,137.718750,93.321777,8883400
2000-12-06,137.781250,138.343750,135.031250,135.515625,91.828903,12888000
2000-12-07,134.875000,135.875000,133.656250,133.656250,90.568916,6529100
2000-12-08,137.062500,139.468750,133.875000,133.968750,90.780655,10276300
2000-12-11,137.375000,139.562500,136.718750,138.625000,93.935883,6405600
2000-12-12,138.187500,138.812500,137.375000,138.031250,93.533539,5022900
2000-12-13,139.250000,139.406250,136.031250,136.140625,92.252426,6070500
2000-12-14,135.875000,136.500000,134.031250,134.406250,91.077164,7678400
2000-12-15,133.125000,133.125000,130.562500,130.968750,89.020020,9065300
2000-12-18,132.062500,133.468750,131.765625,132.718750,90.209511,7235400
2000-12-19,132.468750,134.968750,130.015625,130.015625,88.372177,9616600
2000-12-20,128.625000,128.937500,126.093750,126.250000,85.812653,9994300
2000-12-21,126.000000,128.859375,125.531250,127.125000,86.407394,14331500
2000-12-22,129.000000,131.109375,128.843750,130.937500,88.998772,10182900
2000-12-26,130.843750,132.343750,130.281250,132.343750,89.954628,4665300
2000-12-27,131.750000,133.734375,131.250000,133.312500,90.613068,4854100
2000-12-28,132.812500,133.875000,132.593750,133.718750,90.889191,8358700
2000-12-29,134.062500,134.281250,131.187500,131.187500,89.168709,8774600
2001-01-02,132.000000,132.156250,127.562500,128.812500,87.554405,8737500
2001-01-03,128.312500,136.000000,127.656250,135.000000,91.760071,19431600
2001-01-04,134.937500,135.468750,133.000000,133.546875,90.772385,9219000
2001-01-05,133.468750,133.625000,129.187500,129.187500,87.809311,12911400
2001-01-08,129.875000,130.187500,127.687500,130.187500,88.488998,6625300
2001-01-09,131.046875,131.500000,129.421875,129.843750,88.255325,5702400
2001-01-10,129.000000,132.125000,128.812500,132.125000,89.805939,8746100
2001-01-11,131.093750,133.484375,131.093750,132.250000,89.890877,7245100
2001-01-12,132.687500,133.718750,131.281250,132.000000,89.720955,7244000
2001-01-16,132.000000,133.187500,131.515625,132.843750,90.294456,8542200
2001-01-17,134.843750,135.046875,132.640625,133.453125,90.708702,7851400
2001-01-18,133.437500,135.703125,132.937500,134.781250,91.611389,8107000
2001-01-19,136.187500,136.187500,133.875000,134.015625,91.090996,7782500
2001-01-22,134.250000,135.781250,133.562500,134.906250,91.696342,7050900
2001-01-23,134.468750,136.656250,134.156250,135.968750,92.418571,8463100
2001-01-24,136.250000,137.312500,135.843750,136.375000,92.694664,6199900
2001-01-25,136.250000,137.250000,135.656250,136.031250,92.461014,10818300
2001-01-26,135.156250,136.125000,134.453125,135.875000,92.354805,7136800
2001-01-29,135.500000,136.899994,135.369995,136.600006,92.847572,6705900
2001-01-30,136.300003,137.919998,135.789993,137.800003,93.663277,7069100
2001-01-31,137.399994,138.699997,136.600006,137.020004,93.133057,9706900
2001-02-01,137.100006,137.949997,136.250000,137.929993,93.751572,8239100
2001-02-02,137.399994,137.990005,134.750000,134.800003,91.624146,8276600
2001-02-05,134.800003,135.940002,134.750000,135.789993,92.297005,4352900
2001-02-06,135.300003,136.699997,135.220001,135.389999,92.025169,7106700
2001-02-07,134.720001,135.399994,133.679993,134.690002,91.549393,5748700
2001-02-08,134.800003,135.399994,133.100006,133.119995,90.482262,5943300
2001-02-09,133.350006,133.350006,131.259995,131.839996,89.612198,9913000
2001-02-12,131.699997,133.500000,131.699997,133.350006,90.638550,5804400
2001-02-13,133.699997,134.169998,132.000000,132.259995,89.897690,6587600
2001-02-14,132.649994,132.649994,130.660004,132.059998,89.761711,8400100
2001-02-15,132.839996,133.520004,131.990005,133.339996,90.631760,5929800
2001-02-16,131.000000,131.289993,129.300003,130.399994,88.633415,6434900
2001-02-20,131.039993,131.139999,128.100006,128.389999,87.267220,5760000
2001-02-21,127.900002,128.839996,125.500000,125.620003,85.384430,10910800
2001-02-22,126.349998,126.540001,123.019997,125.809998,85.513618,21281600
2001-02-23,125.080002,125.540001,121.800003,124.959999,84.935844,20173000
2001-02-26,125.800003,127.620003,124.500000,127.620003,86.743858,11503700
2001-02-27,126.800003,127.839996,125.510002,126.440002,85.941826,11415000
2001-02-28,126.750000,126.839996,123.269997,123.949997,84.249329,14825800
2001-03-01,124.050003,124.599998,121.750000,124.599998,84.691139,14672000
2001-03-02,122.500000,125.650002,122.300003,123.610001,84.018250,12564300
2001-03-05,124.150002,124.779999,123.809998,124.739998,84.786316,5293200
2001-03-06,126.349998,127.750000,125.489998,126.080002,85.697090,6917000
2001-03-07,126.900002,127.040001,125.760002,126.980003,86.308838,6371700
2001-03-08,126.599998,127.239998,126.139999,127.120003,86.403992,6055000
2001-03-09,126.099998,126.099998,123.110001,123.360001,83.848289,10020300
2001-03-12,122.339996,122.500000,117.750000,118.080002,80.259499,13972900
2001-03-13,119.400002,120.440002,117.529999,120.019997,81.578110,12888000
2001-03-14,117.050003,119.290001,115.750000,117.650002,79.967201,19883400
2001-03-15,118.449997,118.860001,117.360001,117.680000,79.987610,10370300
2001-03-16,117.129997,117.400002,114.809998,115.010002,78.383263,58514600
2001-03-19,115.760002,117.690002,114.820000,117.349998,79.978088,10067800
2001-03-20,117.900002,118.459999,114.110001,114.199997,77.831200,15083900
2001-03-21,114.180000,115.260002,111.900002,112.260002,76.509026,19004600
2001-03-22,112.019997,112.599998,108.040001,111.120003,75.732079,28624800
2001-03-23,113.250000,114.660004,111.500000,114.480003,78.022041,12861700
2001-03-26,115.699997,116.269997,114.769997,115.940002,79.017082,9943800
2001-03-27,115.620003,118.650002,115.279999,118.309998,80.632362,12880700
2001-03-28,116.900002,116.949997,114.900002,115.040001,78.403709,10953300
2001-03-29,114.699997,116.500000,112.139999,115.480003,78.703552,12060300
2001-03-30,115.550003,116.690002,114.500000,116.690002,79.528259,9183600
2001-04-02,116.300003,117.379997,113.800003,114.199997,77.831200,10561000
2001-04-03,113.980003,114.150002,110.059998,110.389999,75.234581,12836000
2001-04-04,110.570000,112.099998,109.300003,110.849998,75.548073,14884300
